question_no,metric_type,label,value,rate
Q1,single_choice_frequency,研一,126.0,0.7875
Q1,single_choice_frequency,研二,30.0,0.1875
Q1,single_choice_frequency,延期,4.0,0.025
Q2,single_choice_frequency,"有,且持续3个月以上",71.0,0.44375
Q2,single_choice_frequency,"有,但不足3个月",56.0,0.35
Q2,single_choice_frequency,尚未开始实习,33.0,0.20625
Q4,single_choice_frequency,听说过但不清楚具体内容,56.0,0.35
Q4,single_choice_frequency,完全不了解,51.0,0.31875
Q4,single_choice_frequency,有所了解,46.0,0.2875
Q4,single_choice_frequency,非常了解,7.0,0.04375
Q5,single_choice_frequency,不太清楚,65.0,0.40625
Q5,single_choice_frequency,基本清楚,56.0,0.35
Q5,single_choice_frequency,完全不清楚,27.0,0.16875
Q5,single_choice_frequency,非常清楚,12.0,0.075
Q3,multi_select_frequency,其他(请注明):__〖产品宣传册〗,1.0,0.00625
Q3,multi_select_frequency,其他(请注明):__〖审计报告〗,1.0,0.00625
Q3,multi_select_frequency,其他(请注明):__〖未实习〗,1.0,0.00625
Q3,multi_select_frequency,其他(请注明):__〖研报〗,1.0,0.00625
Q3,multi_select_frequency,其他(请注明):__〖竞争对手分析ppt〗,1.0,0.00625
Q3,multi_select_frequency,客户案例分析,16.0,0.1
Q3,multi_select_frequency,项目实施总结,22.0,0.1375
Q3,multi_select_frequency,市场调研报告,33.0,0.20625
Q3,multi_select_frequency,数据分析报告,35.0,0.21875
Q3,multi_select_frequency,商业计划书/营销方案,36.0,0.225
Q3,multi_select_frequency,尚未产出任何材料,80.0,0.5
Q7,multi_select_frequency,工作量相对可控,16.0,0.1
Q7,multi_select_frequency,更能展示我的实践能力,30.0,0.1875
Q7,multi_select_frequency,对未来就业有帮助,67.0,0.41875
Q7,multi_select_frequency,相对容易获得数据和企业支持,75.0,0.46875
Q7,multi_select_frequency,"能真正解决实际问题,有成就感",101.0,0.63125
Q7,multi_select_frequency,与我的实习/工作内容直接相关,117.0,0.73125
Q8,multi_select_frequency,其他(请注明):〖企业数据不能公开〗,1.0,0.00625
Q8,multi_select_frequency,团队合作项目中个人贡献难以界定的成果,53.0,0.33125
Q8,multi_select_frequency,纯粹的实习日志或工作总结,82.0,0.5125
Q8,multi_select_frequency,缺乏数据支撑的主观建议 简单的文献综述类报告,97.0,0.60625
Q8,multi_select_frequency,企业内部保密性过强无法公开的材料,115.0,0.71875
Q11,multi_select_frequency,不知道如何平衡学术性与实践性,27.0,0.16875
Q11,multi_select_frequency,担心实践成果比写论文更难/工作量更大,35.0,0.21875
Q11,multi_select_frequency,缺乏实践成果撰写的模板和范例,54.0,0.3375
Q11,multi_select_frequency,企业不愿意配合或提供真实数据,55.0,0.34375
Q11,multi_select_frequency,不清楚实践成果的具体质量要求,72.0,0.45
Q11,multi_select_frequency,担心做了企业项目最后论文评审不通过,95.0,0.59375
Q11,multi_select_frequency,不知道什么类型的实践成果能被学院认可,107.0,0.66875
Q12,multi_select_frequency,明确各类成果的最低字数/工作量要求,26.0,0.1625
Q12,multi_select_frequency,提供不同类型成果的模板和优秀范例,52.0,0.325
Q12,multi_select_frequency,各类成果的质量标准清晰可操作,64.0,0.4
Q12,multi_select_frequency,成果类型的多样性和灵活性,82.0,0.5125
Q12,multi_select_frequency,与学生实习岗位和职业规划的相关性,100.0,0.625
Q12,multi_select_frequency,与MIB不同专业方向(跨境电商、国际投资等)的匹配度,107.0,0.66875
Q13,multi_select_frequency,导师指导手册,9.0,0.05625
Q13,multi_select_frequency,实践成果撰写工作坊/专题培训,33.0,0.20625
Q13,multi_select_frequency,实践成果评价指标细则和评分表,85.0,0.53125
Q13,multi_select_frequency,企业项目对接平台,94.0,0.5875
Q13,multi_select_frequency,优秀实践成果案例库,102.0,0.6375
Q13,multi_select_frequency,不同类型实践成果的撰写模板,112.0,0.7
Q9,mean_score,问题导向性,4.28125,
Q9,mean_score,真实性,4.1875,
Q9,mean_score,可操作性,4.14375,
Q9,mean_score,规范性,4.13125,
Q9,mean_score,数据支撑度,4.1125,
Q9,mean_score,实践价值,4.04375,
Q9,mean_score,工作量,3.9375,
Q9,mean_score,团队协作能力,3.83125,
Q9,mean_score,理论应用性,3.81875,
Q9,mean_score,创新性,3.7375,
Q10,mean_weight,校内学术导师,26.01875,
Q10,mean_weight,校外企业导师,21.0125,
Q10,mean_weight,学院专家评审组,17.33125,
Q10,mean_weight,企业客户/受益方,19.9625,
Q10,mean_weight,学生自评,15.675,
Q6,weighted_score,国际商务案例分析(基于真实企业编写教学案例),213.0,
Q6,weighted_score,企业咨询报告(为企业提供市场分析、 战略建议等),164.0,
Q6,weighted_score,市场调研报告(针对特定市场/行业的系统调研),162.0,
Q6,weighted_score,项目实施总结(完整参与项目并形成复盘报告),104.0,
Q6,weighted_score,商业方案设计(跨境电商方案、国际市场进入方案等),100.0,
Q6,weighted_score,政策研究报告(针对国际贸易政策的应用研究),40.0,
Q6,weighted_score,产品/服务创新方案(新产品开发、服务模式设计等),38.0,
Q6,weighted_score,投资项目可行性研究报告（从风险到回报的全面分析决策）,37.0,
Q6,weighted_score,数字化解决方案(基于数据分析的商业智能报告),37.0,
